DEUTW,ESP,FRATNP,GBRTENW,ITA,JPN,RUS,SWE,USA
0,76.2859902475674,58.9021178930255,44.1668470275037,61.463781336026,111.170990719537,0,49.8263427829249,37.4284568856071
0,77.2682563148732,60.4736711975567,47.1101451190855,63.2918667607385,102.999832738064,0,48.0943027922116,36.7929552880818
0,64.3762154104785,53.2223727343776,38.3252212337538,60.5840511824134,92.7753710784763,0,44.2969105980087,35.5948941313574
0,60.4722571767835,53.6447271886644,36.9264046792316,57.4384975857354,90.9718496800459,0,43.8428230592213,33.6490046526629
0,55.0703578984543,48.5621576840741,34.0045236339475,51.0103976177307,84.332244459799,0,40.2397703114162,28.9616103253943
0,56.0571638884101,47.0149930038387,34.4655658406292,48.9430293802462,77.5498349504711,0,38.2841242722439,28.6378837997185
51.113413075908,55.8752529990902,46.8890657935489,32.8040702545191,52.1591271612381,78.4597061812018,0,37.6936377007075,28.1247318137797
50.8713651202799,56.7233644081418,44.2661709067859,31.7916114785415,51.4309873725602,79.1842948371525,0,39.1058063813363,29.5120168500763
45.5330432726494,45.6029465418423,36.5712308228898,30.5773393168175,45.6525149535992,69.4312513301309,0,33.5640805311481,27.9763052271349
44.2480529252225,46.0733255765934,36.1911548073163,29.5188068881312,43.0950215929047,66.81047055086,3.24809561409368,31.7194199521893,26.5620700173925
45.7289425772613,43.334018167119,34.8802747936181,28.2193069379413,43.659135866081,65.1541398645406,-3.64710581407792,34.548530816316,27.0452352469018
42.1646631648153,41.295747317044,30.9312444342495,30.0646737242173,40.1125878368248,60.8825538620924,-5.93582746866964,30.6969462094438,24.4080528715071
40.4276052523439,41.0648935059611,34.1972600303468,29.7098578355224,43.6036557001651,58.9193516332468,-3.20605617156934,31.8679374075346,25.2576883656742
40.6953100606674,40.1611201889379,35.1727196899574,30.2536768251645,43.0477963290266,51.4582870541687,-7.68912572979939,30.2776232166546,26.3236267575613
35.8389739530078,35.9470632772936,28.7274610092013,24.609922024588,36.7097908264392,48.2455336472755,-17.8533671253793,28.7984706320694,24.7231921255335
36.347937891958,33.4452654288494,29.9105697836433,24.7356558890724,37.4805388731135,47.7920501395318,-13.0082450263612,27.3577570545869,24.4003647427077
36.0648395106353,31.8963705510721,27.1184835850911,25.3293015968972,32.8656049182988,41.9122421375016,-15.0852052757776,25.3205617794709,24.6289205000404
34.2226970818572,30.7069982666918,27.2291566201332,20.9879096020405,32.6372069834145,39.253133395256,-10.5122081989382,24.843868931715,22.6405167175411
36.7759743050194,28.7334070529154,27.3144843114097,23.7580157913598,33.689829098788,37.1673780691271,-9.18120213783651,26.1917609173508,24.6378730150167
38.0183401663131,32.0473662176233,29.2650303886762,23.8861212832259,33.7235725522228,35.1916952558118,-4.13570458241894,25.1730597263377,22.9077815073333
36.4197923814365,25.6176782614622,23.0679871348332,22.1853241387639,28.7364083532799,34.5386487278876,-4.77586145982661,20.2073840331947,21.2766526052985
35.0725593325461,28.3438442274664,23.1808928205708,19.6506356839863,27.0515337556859,27.9709366149373,-7.0811489486563,20.7714666195787,18.9602771268229
33.2624912107038,20.0600202303329,21.4762526900539,21.3941956386707,25.2414619015764,24.3937452125026,-6.19302766728782,19.8588726795884,18.4794962037966
31.5854819260565,21.6351137603367,20.316122888502,19.6491250732392,25.5086491368823,23.0478339059898,-5.91939630484578,18.3615367460301,17.0502891096315
28.8709132836127,19.0832466214415,17.9239663864665,18.1591129064407,20.5979322713119,19.4708134975438,-6.03541662711262,17.37477020262,13.331422381853
29.5595535622417,16.2113869929142,17.2041377144529,16.2994101476051,21.1323109231476,15.0885592572944,-0.794342526486871,17.3021112161014,9.37358793660221
25.669836420103,13.8549411810811,15.55204328723,16.3840637442691,18.6597952254886,11.5787175551362,0.943414478279756,17.3513189755682,7.29254267837828
20.069466055727,10.0553307306012,11.013310644981,12.6205914024333,15.900404813511,6.52184787519636,1.94394757697039,13.3650332103997,4.61141342850905
19.9791844315496,8.57928425297562,10.0949838231386,13.2222005728211,13.34178148229,3.50071841789417,1.91023630775375,12.5550844769077,3.32829837670436
16.1851280464634,4.63303243313834,7.95418479244596,12.2154626317106,10.7587448194892,-1.24038753368911,3.85341208150702,12.1628288242435,0.302821334204707
13.9859111323963,0.184618379619406,7.12248952742337,8.92723389783114,11.204210456285,-1.00578501313805,4.45915329107663,10.0367195143125,1.03434242938713
11.9661964219302,-1.34544261750053,5.83703245559963,6.25221051767865,8.14779196465738,-4.95938134986026,3.23238199429529,7.1166441262564,-1.77249989068272
9.13547367832907,-6.6734351015032,2.91209395040136,5.15973849512674,4.27388693452333,-9.91403367706008,-0.246739533422927,4.02792186609247,-4.33900950930333
6.83054779901924,-4.71446942445863,3.16091246969016,3.26405331000424,5.75237974157745,-10.249910905616,0.87745655757739,1.7695396118011,-5.01079916939584
1.65700221787052,-8.20588384764279,-0.699557592459411,-0.00564850322830579,-0.631106024298083,-14.2332208422057,3.97333270875065,-0.843676830641542,-5.92254170239482
0.0522532868477649,-7.53965321085586,-1.42112238503026,1.3513103309617,-1.54554119010217,-17.1272173586302,-0.398668466172392,0.637545759393829,-5.77695073321839
-2.18470201900263,-10.22226448897,-3.61865250054408,-0.854844347064242,-4.24763516953973,-21.3346543742525,-17.853375396376,-2.03736506988394,-6.36870862994453
-6.10606511640068,-12.5451548441997,-8.34377393976541,-3.76996323786253,-8.04786048652894,-25.6480790931368,-17.8533672135873,-3.63971044718168,-7.35549129305795
